name,birthdate,height,weight,spike,block,world_championships,olympic_games,other,total,club,team,position
Lenka Dürr,10/12/1990,171,59,280,270,8,0,186,194,Dresdner SC,GER,Libero
Pia Kästner,29/06/1998,182,68,297,286,0,0,6,6,Allianz MTV Stuttgart,GER,Setter
"Denise Hanke
c",31/08/1989,183,73,297,284,9,0,180,189,SSC Palmberg Schwerin,GER,Setter
Selma Hetmann,27/10/1995,188,70,325,315,0,0,0,0,VC Wiesbaden,GER,Middle blocker
Jana Franziska Poll,07/05/1988,185,69,310,290,0,0,71,71,LiB Aachen,GER,Outside Hitter
Jennifer Janiska,05/04/1994,184,58,298,288,9,0,119,128,Dresdner SC,GER,Outside Hitter
Nele Barber,27/10/1994,183,55,290,280,0,0,0,0,SSC Palmberg Schwerin,GER,Outside Hitter
Kimberly Drewniok,11/08/1997,188,73,311,298,0,0,18,18,Savino Del Bene Scandicci,GER,Opposite spiker
Lina Alsmeier,29/06/2000,189,70,305,290,0,0,0,0,SSC Palmberg Schwerin,GER,Outside Hitter
Lena Stigrot,20/12/1994,184,68,303,295,0,0,70,70,Dresdner SC,GER,Outside Hitter
Louisa Lippmann,23/09/1994,191,78,319,312,7,0,98,105,Lokomotiv Kaliningrad,GER,Opposite spiker
Hanna Orthmann,03/10/1998,188,74,302,291,0,0,8,8,Saugella Monza,GER,Outside Hitter
Denise Imoudu,14/12/1995,180,67,290,280,0,0,11,11,SSC Palmberg Schwerin,GER,Setter
Marie Schölzel,01/08/1997,188,66,307,299,0,0,56,56,SSC Palmberg Schwerin,GER,Middle blocker
Corina Glaab,25/05/2000,180,65,291,281,0,0,0,0,Rote Raben Vilsbiburg,GER,Setter
Linda Bock,27/05/2000,172,60,278,270,0,0,0,0,USC Münster,GER,Libero
Anna Pogany,21/07/1994,170,60,280,270,0,0,17,17,SSC Palmberg Schwerin,GER,Libero
Leonie Schwertmann,12/01/1994,190,80,300,290,0,0,45,45,Rote Raben Vilsbiburg,GER,Middle blocker
Luisa Theresa Keller,25/08/2001,184,65,301,285,0,0,0,0,USC Münster,GER,Opposite spiker
Celin Stöhr,22/11/1993,193,68,299,290,0,0,0,0,Rote Raben Vilsbiburg,GER,Middle blocker
Camilla Weitzel,11/06/2000,195,75,302,296,0,0,0,0,Dresdner SC,GER,Middle blocker
Lisa Gründing,02/12/1991,186,68,303,291,0,0,16,16,SC Potsdam,GER,Middle blocker
Natalie Wilczek,09/03/2000,187,73,322,312,0,0,0,0,SC Potsdam,GER,Middle blocker
Lea Ambrosius,22/05/2000,189,79,305,298,0,0,0,0,SSC Palmberg Schwerin,GER,Middle blocker
Elisa Lohmann,22/07/1998,175,60,290,278,0,0,0,0,VfB Lotto Thüringen Suhl,GER,Libero
Indre Sorokaite,02/07/1988,183,83,314,292,0,0,129,129,Toyota Auto Body Queenseis,ITA,Opposite spiker
Sara Alberti,03/01/1993,185,72,310,300,0,0,5,5,Azzurra Volley San Casciano SS,ITA,Outside Hitter
Carlotta Cambi,28/05/1996,177,66,302,292,13,0,43,56,Volley Bergamo SRL,ITA,Setter
Francesca Bosio,07/08/1997,179,78,307,288,0,0,0,0,Reale Mutua Fenera Chieri,ITA,Setter
Ofelia Malinov,29/02/1996,182,70,304,286,13,0,155,168,Savino del Bene Scandicci,ITA,Setter
Monica De Gennaro,08/01/1987,174,67,280,260,24,11,235,270,Imoco Volley Conegliano,ITA,Libero
Raphaela Folie,07/03/1991,187,73,324,300,13,0,135,148,Imoco Volley Conegliano,ITA,Middle blocker
Alessia Orro,18/07/1998,178,74,318,285,0,5,109,114,Saugella Monza,ITA,Setter
Caterina Chiara Bosetti,02/02/1994,179,62,310,292,13,6,136,155,Igor Gorgonzola Novara,ITA,Outside Hitter
"Cristina Chirichella
c",10/02/1994,191,79,322,304,26,5,173,204,Igor Gorgonzola Novara,ITA,Middle blocker
Anna Danesi,20/04/1996,195,78,316,296,13,5,109,127,Saugella Monza,ITA,Middle blocker
Anastasia Guerra,15/10/1996,183,74,312,294,0,0,54,54,Il Bisonte Firenze,ITA,Outside Hitter
Sarah Luisa Fahr,12/09/2001,192,90,322,306,13,0,64,77,Imoco Volley Conegliano,ITA,Middle blocker
Elena Pietrini,17/03/2000,188,73,330,306,13,0,56,69,Savino del Bene Scandicci,ITA,Outside Hitter
Sylvia Chinelo Nwakalor,12/08/1999,179,75,330,312,13,0,43,56,Il Bisonte Firenze,ITA,Opposite spiker
Lucia Bosetti,09/07/1989,178,63,310,292,23,6,241,270,Pallavolo Scandicci SDB SSDRL,ITA,Outside Hitter
Miryam Fatime Sylla,08/01/1995,184,80,320,240,13,5,115,133,Imoco Volley Conegliano,ITA,Outside Hitter
Paola Ogechi Egonu,18/12/1998,193,74,344,321,13,5,121,139,Imoco Volley Conegliano,ITA,Opposite spiker
Alexandra Botezat,03/08/1998,197,75,316,304,0,0,0,0,UYBA Volley SSDRL,ITA,Middle blocker
Beatrice Parrocchiale,26/12/1995,168,59,286,258,13,0,119,132,Saugella Monza,ITA,Libero
Chiara De Bortoli,28/07/1997,175,61,308,286,0,0,10,10,Reale Mutua Fenera Chieri,ITA,Libero
Anna Nicoletti,03/01/1996,193,86,306,290,0,0,6,6,Millenium Brescia SSDARL,ITA,Opposite spiker
Francesca Villani,30/05/1995,186,85,305,280,0,0,0,0,Millenium Brescia SSDARL,ITA,Outside Hitter
Elena Perinelli,27/06/1995,182,66,299,277,0,0,0,0,Fenera Chieri '76 SSDARL,ITA,Outside Hitter
Beatrice Berti,12/01/1996,193,87,304,288,0,0,0,0,UYBA Volley SSDRL,ITA,Middle blocker
Sarina Koga,21/05/1996,180,66,307,290,12,0,141,153,NEC Red Rockets,JPN,Outside Hitter
"Nana Iwasaka
c",03/07/1990,187,76,298,293,12,0,155,167,Hisamitsu Springs,JPN,Middle blocker
Risa Shinnabe,11/07/1990,175,64,293,285,21,8,163,192,Hisamitsu Springs,JPN,Outside Hitter
Erika Araki,03/08/1984,186,78,305,297,30,14,212,256,Toyota Auto Body Queenseis,JPN,Middle blocker
Haruka Miyashita,01/09/1994,177,61,298,272,9,6,134,149,Okayama Seagulls,JPN,Setter
Yuki Ishii,08/05/1991,180,67,305,287,21,6,197,224,Hisamitsu Springs,JPN,Outside Hitter
Mami Uchiseto,25/10/1991,170,74,295,285,12,0,85,97,Saitama Ageo Medics,JPN,Outside Hitter
Haruyo Shimamura,04/03/1992,182,78,297,290,12,6,111,129,NEC Red Rockets,JPN,Middle blocker
Koyomi Iwasaki,01/05/1989,175,68,295,280,12,0,54,66,Saitama Ageo Medics,JPN,Setter
Yurie Nabeya,15/12/1993,176,57,305,292,0,6,140,146,Denso Airybees,JPN,Outside Hitter
Miya Sato,07/03/1990,175,61,278,275,0,0,64,64,Hitachi Rivale,JPN,Setter
Mai Okumura,31/10/1990,177,66,297,285,12,0,91,103,Denso Airybees,JPN,Middle blocker
Mako Kobata,15/08/1992,164,55,285,274,12,0,76,88,JT Marvelous,JPN,Libero
Kotoe Inoue,15/02/1990,163,57,288,275,12,0,58,70,Denso Airybees,JPN,Libero
Ai Kurogo,14/06/1998,180,69,306,295,12,0,72,84,Toray Arrows,JPN,Outside Hitter
Kanami Tashiro,25/03/1991,173,68,289,273,12,6,48,66,Denso Airybees,JPN,Setter
Akane Moriya,08/01/1991,165,55,282,260,0,0,36,36,Saitama Ageo Medics,JPN,Libero
Yuka Imamura,02/09/1993,176,69,295,291,0,0,25,25,Hisamitsu Springs,JPN,Outside Hitter
Aya Watanabe,23/04/1991,176,68,301,290,0,0,22,22,Toyota Auto Body Queenseis,JPN,Middle blocker
Miwako Osanai,19/07/1997,175,67,293,270,0,0,26,26,Hitachi Rivale,JPN,Outside Hitter
Yuri Yoshino,16/12/1999,173,67,290,280,0,0,0,0,Saitama Ageo Medics,JPN,Outside Hitter
Mai Irisawa,02/06/1999,188,72,309,293,0,0,0,0,Hitachi Rivale,JPN,Middle blocker
Aika Akutagawa,03/04/1991,180,62,304,280,0,0,72,72,JT Marvelous,JPN,Middle blocker
Nanami Seki,12/06/1999,170,58,282,280,0,0,34,34,Toray Arrows,JPN,Setter
Miyu Nakagawa,08/01/2000,180,65,307,300,0,0,20,20,Hisamitsu Springs,JPN,Opposite spiker
Soyoung Lee,17/10/1994,176,68,270,255,5,0,33,38,Korea Ginseng Corporation,KOR,Outside Hitter
Seungju Pyo,07/08/1992,182,76,275,260,0,0,43,43,IBK,KOR,Outside Hitter
Hae Ran Kim,16/03/1984,168,60,270,250,14,14,139,167,Heungkuk Life,KOR,Libero
Heejin Kim,29/04/1991,185,80,305,290,0,14,184,198,IBK,KOR,Opposite spiker
Hyo Hee Lee,09/09/1980,173,58,272,252,5,6,73,84,Korea Expressway Corporation,KOR,Setter
Hyejin An,16/02/1998,175,64,256,231,0,0,30,30,GS Caltex,KOR,Setter
Myungok Yim,05/05/1986,175,62,273,253,18,0,15,33,Korea Expressway Corporation,KOR,Libero
Juah Lee,21/08/2000,185,71,283,268,5,0,23,28,Heungkuk Life,KOR,Middle blocker
"Yeon Koung Kim
c",26/02/1988,192,73,310,300,22,14,227,263,Shanghai Ubest,KOR,Outside Hitter
Su Ji Kim,11/07/1987,188,68,283,268,5,6,84,95,IBK,KOR,Middle blocker
Dae Young Jung,12/08/1981,185,73,279,269,25,13,183,221,Korea Expressway Corporation,KOR,Middle blocker
Eunjin Park,15/12/1999,187,73,296,281,5,0,53,58,Korea Ginseng Corporation,KOR,Middle blocker
Sohwi Kang,18/07/1997,180,65,286,276,0,0,45,45,GS Caltex,KOR,Outside Hitter
Yeongyeon Kim,01/12/1993,163,52,267,252,0,0,37,37,Hyundai E&C,KOR,Libero
Jaeyeong Lee,15/10/1996,178,65,289,279,5,6,70,81,Heungkuk Life,KOR,Outside Hitter
Jungwon Moon,24/03/1992,174,61,271,261,0,0,20,20,Korea Expressway Corporation,KOR,Outside Hitter
Dayeong Lee,15/10/1996,180,63,291,271,0,0,83,83,Hyundai E&C,KOR,Setter
Jiyoung Oh,11/07/1988,170,61,267,252,13,0,50,63,GS Caltex,KOR,Libero
Wonjeong Lee,12/01/2000,176,71,271,256,0,0,0,0,GS Caltex,KOR,Setter
Jiyun Jeong,01/01/2001,180,71,295,280,0,0,36,36,Hyundai E&C,KOR,Opposite spiker
Nayeon Lee,25/03/1992,173,62,261,241,5,0,15,20,IBK,KOR,Setter
Sooji Han,01/02/1989,182,72,285,275,9,0,60,69,GS Caltex,KOR,Middle blocker
Hyejin Ha,07/09/1996,181,60,285,275,0,0,6,6,Korea Expressway Corporation,KOR,Opposite spiker
Hyunjeong Kim,28/08/1998,180,70,272,262,0,0,7,7,GS Caltex,KOR,Middle blocker
Eunji Choi,07/06/1992,183,72,277,267,0,0,15,15,Korea Ginseng Corporation,KOR,Outside Hitter
Kirsten Knip,14/09/1992,175,70,281,275,15,0,218,233,Sliedrecht Sport,NED,Libero
Femke Stoltenborg,30/07/1991,189,81,303,299,9,8,227,244,Budowlani Łódź,NED,Setter
Yvon Belien,28/12/1993,188,73,307,303,21,8,228,257,Il Bisonte Firenze,NED,Middle blocker
Celeste Plak,26/10/1995,190,87,314,302,21,8,228,257,T.b.d.,NED,Outside Hitter
Robin De Kruijf,05/05/1991,192,81,313,300,19,8,316,343,Conegliano,NED,Middle blocker
"Maret Grothues
c",16/09/1988,180,68,304,285,24,6,346,376,Aydin Bld. Spor,NED,Outside Hitter
Juliet Lohuis,10/09/1996,190,77,305,295,13,0,65,78,Allianz MTV Stuttgart,NED,Middle blocker
Demi Korevaar,09/08/2000,187,71,311,303,0,0,9,9,USC Münster,NED,Middle blocker
Myrthe Schoot,29/08/1988,182,70,298,286,21,8,296,325,Rote Raben Vilsbiburg,NED,Libero
Lonneke Slöetjes,15/11/1990,191,76,322,315,22,8,247,277,Vakifbank,NED,Opposite spiker
Anne Buijs,02/12/1991,191,73,317,299,22,8,237,267,Praia Clube,NED,Outside Hitter
Britt Bongaerts,03/11/1996,185,68,296,284,13,0,67,80,ŁKS Łódź,NED,Setter
Hester Jasper,07/05/2001,175,63,295,287,0,0,9,9,Allianz MTV Stuttgart,NED,Outside Hitter
Laura Dijkema,18/02/1990,184,70,293,279,33,8,326,367,Lokomotiv Kaliningrad,NED,Setter
Indy Baijens,04/02/2001,193,75,321,312,0,0,9,9,KPS Chemik Police,NED,Middle blocker
Nicole Oude Luttikhuis,26/12/1997,191,82,312,305,13,0,59,72,Schwerin,NED,Outside Hitter
Marrit Jasper,28/02/1996,180,75,300,285,13,0,103,116,Volley Millenium Brescia,NED,Outside Hitter
Nika Daalderop,29/11/1998,189,72,317,308,0,0,69,69,Igor Gorgonzola Novara,NED,Outside Hitter
Tessa Polder,10/10/1997,189,76,301,293,13,0,66,79,ASPTT Mulhouse,NED,Middle blocker
Annick Meijers,23/03/2000,191,75,312,301,0,0,9,9,Fenera Chieri'76,NED,Outside Hitter
Nicole Koolhaas,31/01/1991,198,77,310,300,24,0,199,223,Perugia Volley,NED,Middle blocker
Florien Reesink,09/06/1998,174,61,279,273,0,0,3,3,Apollo'8,NED,Libero
Sarah Van Aalen,21/01/2000,183,68,300,293,0,0,9,9,USC Münster,NED,Setter
Anniek Siebring,13/05/1997,180,68,302,287,0,0,9,9,VFB Suhl,NED,Libero
Eline Timmerman,30/12/1998,192,78,303,295,0,0,23,23,Ladies in Black Aachen,NED,Middle blocker
Julia Nowicka,21/10/1998,174,58,295,278,0,0,21,21,Grot Budowlani Łódź,POL,Setter
Marta Joanna Wojcik,17/02/1982,183,70,295,280,8,0,23,31,ŁKS Commercecon Łódź,POL,Setter
Klaudia Alagierska,02/01/1996,190,76,297,290,0,0,51,51,ŁKS Commercecon Łódź,POL,Middle blocker
Kamila Witkowska,02/12/1991,191,76,310,301,0,0,32,32,KS Developres Rzeszów,POL,Middle blocker
"Agnieszka Kakolewska
c",17/10/1994,197,75,309,295,0,0,112,112,Grupa Azoty Chemik Police,POL,Middle blocker
Martyna Lukasik,26/11/1999,189,75,315,288,0,0,28,28,Grupa Azoty Chemik Police,POL,Opposite spiker
Julia Twardowska,04/05/1995,185,66,297,283,0,0,37,37,Grot Budowlani Łódź,POL,Outside Hitter
Maria Stenzel,25/11/1998,168,53,278,262,0,0,15,15,Grot Budowlani Łódź,POL,Libero
Magdalena Stysiak,03/12/2000,198,85,312,295,0,0,15,15,Pallavolo Scandicci,POL,Opposite spiker
Zuzanna Efimienko-Mlotkowska,08/08/1989,197,72,318,303,0,0,117,117,Developres SkyRes Rzeszów,POL,Middle blocker
Monika Galkowska,06/04/1996,185,70,302,287,0,0,41,41,ŁKS Commercecon Łódź,POL,Opposite spiker
Malgorzata Jasek,14/03/1995,191,78,300,240,0,0,27,27,DPD Legionovia Legionowo,POL,Middle blocker
